               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077916,            0.071725,            0.034476,             0.17552,             0.20643,             0.13768,            0.065805,            0.059834,            0.055088,            0.036876,            0.070066,           0.0033261,           0.0033261
                   1,            0.059887,            0.069325,            0.023143,             0.22121,             0.26631,              0.1825,            0.085294,            0.055172,            0.053392,            0.026138,            0.039736,           0.0063297,           0.0063297
                   2,            0.057484,            0.069053,            0.020916,             0.39245,             0.26107,             0.26321,             0.13345,            0.053088,            0.055424,            0.026386,           0.0090762,           0.0090034,           0.0090034
                   3,            0.056586,            0.072401,            0.019977,             0.37354,             0.29258,             0.29538,             0.15742,            0.050842,            0.055574,            0.021162,            0.008515,            0.008515,            0.008515
                   4,            0.054139,            0.071592,            0.018385,             0.35975,             0.32578,             0.28543,             0.14291,            0.049963,            0.056159,            0.024103,            0.008515,            0.008515,            0.008515
                   5,            0.052796,            0.069693,            0.016458,             0.46106,             0.34743,             0.36324,             0.19807,             0.04847,            0.054213,            0.016262,             0.00802,             0.00802,             0.00802
                   6,            0.051647,            0.070617,            0.015749,             0.45699,             0.35564,             0.36307,             0.20078,            0.047405,            0.053613,            0.016347,            0.007525,            0.007525,            0.007525
                   7,            0.050806,            0.068313,            0.013782,             0.45917,             0.33584,             0.35836,             0.19365,            0.048736,            0.054372,             0.01808,             0.00703,             0.00703,             0.00703
                   8,            0.050368,             0.06925,             0.01377,              0.5109,               0.378,             0.40662,             0.23178,             0.04656,            0.052998,            0.015393,            0.006535,            0.006535,            0.006535
                   9,            0.049177,            0.067277,            0.012676,             0.48636,             0.38901,             0.40991,             0.23491,            0.046184,            0.052227,             0.01376,             0.00604,             0.00604,             0.00604
                  10,            0.049405,            0.065546,            0.011659,             0.50215,             0.40447,             0.42847,             0.24723,            0.045537,            0.053165,             0.01406,            0.005545,            0.005545,            0.005545
                  11,            0.048128,             0.06452,             0.01093,             0.50775,             0.40223,             0.43878,             0.26502,            0.044458,             0.05178,            0.013254,             0.00505,             0.00505,             0.00505
                  12,            0.047635,            0.064706,            0.010132,             0.54233,             0.41746,             0.45309,             0.26496,            0.044616,            0.051654,            0.012917,            0.004555,            0.004555,            0.004555
                  13,            0.047159,            0.064977,           0.0094597,             0.54419,             0.41447,             0.45476,             0.26588,            0.043852,            0.051777,            0.012631,             0.00406,             0.00406,             0.00406
                  14,            0.045585,            0.062167,           0.0094773,             0.53519,             0.44055,             0.47749,              0.2861,            0.043896,            0.050773,            0.011995,            0.003565,            0.003565,            0.003565
                  15,            0.045941,            0.063355,           0.0082494,             0.52789,              0.4374,             0.47024,             0.28182,            0.043718,             0.05097,            0.011901,             0.00307,             0.00307,             0.00307
                  16,            0.045045,            0.061923,           0.0077796,             0.53565,             0.43105,             0.47313,             0.29019,            0.043072,            0.050359,            0.011031,            0.002575,            0.002575,            0.002575
                  17,            0.044811,            0.062039,            0.007223,             0.56895,             0.43845,             0.49024,             0.30038,            0.043214,            0.050461,            0.011211,             0.00208,             0.00208,             0.00208
                  18,            0.044529,             0.06171,           0.0072068,             0.57414,             0.44938,             0.50688,             0.31521,            0.042534,             0.05032,           0.0098987,            0.001585,            0.001585,            0.001585
                  19,            0.044206,              0.0612,           0.0064074,             0.57502,             0.44046,             0.50376,             0.31294,            0.042224,            0.049683,            0.010304,             0.00109,             0.00109,             0.00109
